GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3509010,Drummond_North_Elmsley,3509039,Lanark_Highlands,40,25,20
3509010,Drummond_North_Elmsley,3509030,Mississippi_Mills,90,45,45
3509010,Drummond_North_Elmsley,3509028,Carleton_Place,170,30,140
3509010,Drummond_North_Elmsley,3509024,Beckwith,60,40,20
3509010,Drummond_North_Elmsley,3509021,Perth,950,430,520
3509010,Drummond_North_Elmsley,3509015,Tay_Valley,150,70,85
3509010,Drummond_North_Elmsley,3509010,Drummond_North_Elmsley,125,80,45
3509010,Drummond_North_Elmsley,3509004,Smiths_Falls,335,180,155
3509010,Drummond_North_Elmsley,3509001,Montague,20,10,20
3509010,Drummond_North_Elmsley,3507040,Rideau_Lakes,55,40,15
3509010,Drummond_North_Elmsley,3506008,Ottawa,620,330,290
3509015,Tay_Valley,3510035,Central_Frontenac,25,15,10
3509015,Tay_Valley,3510010,Kingston,30,20,15
3509015,Tay_Valley,3509039,Lanark_Highlands,35,15,20
3509015,Tay_Valley,3509028,Carleton_Place,60,15,50
3509015,Tay_Valley,3509021,Perth,905,365,535
3509015,Tay_Valley,3509015,Tay_Valley,220,110,105
3509015,Tay_Valley,3509010,Drummond_North_Elmsley,70,30,40
3509015,Tay_Valley,3509004,Smiths_Falls,85,40,45
3509015,Tay_Valley,3507033,Westport,20,10,15
3509015,Tay_Valley,3506008,Ottawa,175,110,65
3509021,Perth,3510010,Kingston,25,25,0
3509021,Perth,3509030,Mississippi_Mills,25,10,20
3509021,Perth,3509028,Carleton_Place,30,20,10
3509021,Perth,3509021,Perth,1275,580,700
3509021,Perth,3509015,Tay_Valley,75,25,50
3509021,Perth,3509010,Drummond_North_Elmsley,75,25,55
3509021,Perth,3509004,Smiths_Falls,140,50,95
3509021,Perth,3506008,Ottawa,180,105,80
3509024,Beckwith,3509030,Mississippi_Mills,100,35,70
3509024,Beckwith,3509028,Carleton_Place,690,230,455
3509024,Beckwith,3509024,Beckwith,160,95,70
3509024,Beckwith,3509021,Perth,65,40,25
3509024,Beckwith,3509004,Smiths_Falls,105,35,70
3509024,Beckwith,3507065,North_Grenville,30,20,10
3509024,Beckwith,3506008,Ottawa,1905,1075,835
3509028,Carleton_Place,3510010,Kingston,20,15,10
3509028,Carleton_Place,3509030,Mississippi_Mills,245,85,160
3509028,Carleton_Place,3509028,Carleton_Place,1435,555,880
3509028,Carleton_Place,3509024,Beckwith,85,40,40
3509028,Carleton_Place,3509021,Perth,85,45,40
3509028,Carleton_Place,3509015,Tay_Valley,30,0,25
3509028,Carleton_Place,3509010,Drummond_North_Elmsley,20,10,15
3509028,Carleton_Place,3509004,Smiths_Falls,100,35,65
3509028,Carleton_Place,3506008,Ottawa,2035,1045,990
3509030,Mississippi_Mills,3547048,Renfrew,35,10,25
3509030,Mississippi_Mills,3547003,McNab_Braeside,30,25,10
3509030,Mississippi_Mills,3547002,Arnprior,160,80,80
